month,kwh,amount
2021-11-01,378,77.82
2021-12-01,551,113.04
2022-01-01,404,100.57
2022-02-01,394,99.92
2022-03-01,383,97.52
2022-04-01,475,119.3
2022-05-01,568,142.41
2022-06-01,744,183.55
2022-07-01,1144,277.07
2022-08-01,693,168.35
2022-09-01,520,124.62
2022-10-01,453,109.8
2022-11-01,444,107.81
2022-12-01,462,109.19
2023-01-01,385,88.21
2023-02-01,375,86.22
2023-03-01,414,94.3
2023-04-01,487,109.26
2023-05-01,555,123.15
2023-06-01,900,201.02
2023-07-01,858,205.35
2023-08-01,913,219.19
2023-09-01,554,138.26
2023-10-01,496,124.81
2023-11-01,426,108.55
2023-12-01,439,111.56
2024-01-01,318,83.45
2024-02-01,362,93.68
2024-03-01,328,81.52
2024-04-01,352,86.78
2024-05-01,739,171.62
2024-06-01,958,242.55
2024-07-01,991,293.27
2024-08-01,680,205.34
2024-09-01,568,174.64
2024-10-01,539,166.2
2024-11-01,389,122.63
2024-12-01,461,143.56
2025-01-01,447,139.48
2025-02-01,314,100.84
2025-03-01,344,109.56
2025-04-01,464,141.84
2025-05-01,626,179.41
2025-06-01,1129,315.86
2025-07-01,880,248.31
2025-08-01,619,173.58
2025-09-01,513,138.95
2025-10-01,479,130.36
2025-11-01,454,124.09
2025-12-01,515,139.47
"2026-02-01","404","111.48"
"2026-03-01","374","103.92"
