month,ccf
2021-11-01,91
2021-12-01,141
2022-01-01,162
2022-02-01,122
2022-03-01,90
2022-04-01,45
2022-05-01,14
2022-06-01,17
2022-07-01,15
2022-08-01,14
2022-09-01,24
2022-10-01,38
2022-11-01,100
2023-01-01,133
2023-01-01,126
2023-02-01,115
2023-03-01,78
2023-04-01,34
2023-05-01,18
2023-07-01,13
2023-07-01,14
2023-08-01,19
2023-09-01,18
2023-10-01,51
2023-11-01,105
2024-01-01,120
2024-01-01,131
2024-02-01,110
2024-03-01,67
2024-04-01,23
2024-05-01,23
2024-06-01,16
2024-07-01,16
2024-09-01,15
2024-09-01,17
2024-10-01,51
2024-11-01,105
2024-12-01,161
2025-01-01,154
2025-02-01,106
2025-03-01,75
2025-04-01,38
2025-05-01,23
2025-06-01,17
2025-07-01,16
2025-08-01,11
2025-09-01,18
2025-10-01,58
2025-11-01,110
2025-12-01,168
"2026-02-01","175"
"2026-03-01","111"
