Month,Cooling_Hours,Heating_Hours
2025-01-01,0,92
2025-01-01,0,106
2025-02-01,0,65
2025-02-01,0,73
2025-03-01,0,44
2025-03-01,0,52
2025-04-01,0,24
2025-04-01,0,26
2025-05-01,0,4
2025-05-01,1,3
2025-06-01,97,0
2025-06-01,2,0
2025-07-01,170,0
2025-07-01,2,0
2025-08-01,62,0
2025-08-01,0,0
2025-09-01,6,0
2025-09-01,0,0
2025-10-01,0,23
2025-10-01,0,10
2025-11-01,0,64
2025-11-01,0,39
2025-12-01,0,87
2025-12-01,0,119
2026-01-01,0,103
2026-01-01,0,117
2026-02-01,0,72
2026-02-01,0,86
2026-03-01,0,40
2026-03-01,0,41.4
2026-04-01,0,20.1
2026-04-01,0,18.3
2026-05-01,0,8
2026-05-01,20.2,16
2026-06-01,0.4,0
2026-06-01,84.6,0
